THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Heartbreak,A Little Lost,Arthur Russell,1994,
Heartbreak,Nobody Does it Better,Carly Simon,1977,http://open.spotify.com/track/240vi0Gt8ZOdPwC1PbzfUJ
Heartbreak,You’re So Vain,Carly Simon,1972,http://open.spotify.com/track/46aRTYYXkN8ok6fnv9ljvr
Heartbreak,50 Ways to Leave Your Lover,Paul Simon,1975,http://open.spotify.com/track/2VrS8weZmIHO4LtRQibMvJ
Heartbreak,Only the Lonely,Frank Sinatra,1958,http://open.spotify.com/track/3il33mhbtAFCpdBNvNyymr
Heartbreak,All Or Nothing,The Small Faces,1966,http://open.spotify.com/track/3NkE5aI8aPPnoG8w2xBwNF
Heartbreak,I Know It’s Over,The Smiths,1986,
Heartbreak,"Please, Please, Please Let Me Get What I Want",The Smiths,1984,
Heartbreak,Left Only With Love,Smog,1998,
Heartbreak,Broken Heart,Spiritualized,1997,
Heartbreak,I Just Don’t Know What to Do With Myself,Dusty Springfield,1964,http://open.spotify.com/track/4qrEIcw64kbDgSK5QRkkAC
Heartbreak,You Don’t Have to Say You Love Me,Dusty Springfield,1966,http://open.spotify.com/track/2djMjbwwD6aeN029drEul0
Heartbreak,Maggie May,Rod Stewart,1971,http://open.spotify.com/track/5bnmFqpNi0JsOUQgQaGtzC
Heartbreak,Dry Your Eyes,The Streets,2004,http://open.spotify.com/track/1DlCpos9Lj8pK6cYMRjipp
Heartbreak,Last Nite,The Strokes,2001,http://open.spotify.com/track/7kzKAuUzOITUauHAhoMoxA
Heartbreak,Where Did Our Love Go?,The Supremes,1964,http://open.spotify.com/track/6yz8hKpO3s2byra8Et3w9x
